client_number,client_name,plan_id,group_number,dental,renewal,Rnw_Single,Rnw_TwoParty,Rnw_Family,Rnw_Pchild,Rnw_Pchildren
236704,CONNECTECH,,10308275,Dental,02/01/2020,41.12,76.25,121.54,76.25,121.54
236808,TAB AND SLOT LLC,,10308684,Dental,02/01/2020,41.12,76.25,121.54,76.25,121.54
236817,RYANS TIRE INC OPTION 2 OON UCR 90TH,,10310494,Dental,02/01/2020,44.59,88.49,135.17,80.87,80.87
236817,RYANS TIRE INC OPTION 1 OON MAC,,10310447,Dental,02/01/2020,44.59,88.49,135.17,80.87,80.87
205973,SCHUBERT SALES COMPANY,,10339605,Dental,02/01/2020,40.33,74.76,119.2,74.76,119.2
205833,CHURCHKEY CONSULTING,,10344689,Dental,02/01/2020,40.33,74.76,119.2,74.76,119.2
244715,PAVEK HOMES AND REMODELING,,10345316,Dental,02/01/2020,41.32,76.77,122.31,76.77,122.31
254780,HILMERSON INVESTMENTS DBA HILMERSON RV,,10370618,Dental,02/01/2020,37.99,70.43,112.31,70.43,112.31
254828,BJH INVESTMENTS DBA HILMERSON SPORTS CENTER,,10370825,Dental,02/01/2020,41.32,76.77,122.31,76.77,122.31
255129,UPPER MIDWEST LABOR MANAGEMENT HEALTH CARE CO,,10372732,Dental,02/01/2020,40.33,74.76,119.2,74.76,119.2
254771,COREBIOME INC,,10405678,Dental,02/01/2020,46.32,85.98,137.08,85.98,137.08
236900,TC FAMILY LLC DBA TRUE COLORS FINANCIAL,,10409867,Dental,02/01/2020,17.33,32.22,51.54,32.22,51.54
205701,OUR SAVIOUR S COMMUNITY SERVICES,,10452058,Dental,02/01/2020,35.74,72,114.76,72,114.76
205625,STIMPERT ENTERPRISES INC,,10453230,Dental,02/01/2020,50.41,101.66,162.23,101.66,162.23
205725,WILDLIFE RESEARCH CENTER INC,,10453353,Dental,02/01/2020,35.74,72,114.76,72,114.76
261524,TJ STILLWATER LLC,,10453410,Dental,02/01/2020,37.73,76.08,121.36,76.08,121.36
261636,MARVEL CITIZEN LLC,,10453944,Dental,02/01/2020,36.05,72.52,115.7,72.52,115.7
261654,AMERICAN FAMILY FOST CHOLES AGENCY,,10454489,Dental,02/01/2020,36.99,74.62,118.95,74.62,118.95
261655,DYAMX INC,,10454495,Dental,02/01/2020,37.73,76.08,121.36,76.08,121.36
261656,NPX MEDICAL LLC,,10454497,Dental,02/01/2020,37.73,76.08,121.36,76.08,121.36
261670,MN VALLEY SERVICES LLC DBA MINNESOTA VALLEY T,,10454599,Dental,02/01/2020,42.97,86.67,138.34,86.67,138.34
261748,LAKE STREET HOLDINGS LLC,,10455369,Dental,02/01/2020,36.99,74.62,118.95,74.62,118.95
